V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	Q1	Q2	Q3	Q4	Q5	Q6	Q7_5	Q7_6	Q7_7	Q7_8	Q7_9	Q7_10	Q7_11	Q7_12	Q7_13	Q7_14	Q7_16	Q7_17	Q7_18	Q7_20	Q7_21	Q7_22	Q7_23	Q7_24	Q7_25	Q7_26	Q7_27	Q8	Q9	Q10	Q11	Q12_1	Q12_2	Q12_3	Q12_5	Q12_6	Q13_1	Q13_2	Q13_3	Q13_4	Q13_5	Q17_1	Q17_2	Q17_3	Q17_4	Q17_5	Q14	Q15	LocationLatitude	LocationLongitude	LocationAccuracy
R_2nvJKBUSiNigmRT	Default Response Set	Anonymous			141.216.161.133	0	3/8/2016 12:43	3/8/2016 13:53	1	2	2	3	5	2	2	2	1	2	3	2	3	1	2	2	2	3	3	4	4	4	3	1	1	3	1	3	2	when i found my old best friend profile on social media  with whom am not in contact for a long time that made me happy.. and after coming to USA talking to my parents and sister make me happy.	2	4				1				1				1				No I have control on the usage of social media 	"great impact, that became a part of my routine"	43.01379395	-83.68830109	-1
R_56cpHWOcqqsgwi9	Default Response Set	Anonymous			117.200.14.253	0	3/8/2016 21:08	3/8/2016 21:09	1	1	2	4	3	2	1	2	2	3	1	1	1	2	4	3	3	1	2	2	1	4	2	4	4	3	1	2	2		1	4				1			1							1				14.43330383	79.96670532	-1
R_560C5lAV4teLHyR	Default Response Set	Anonymous			1.39.63.114	0	3/8/2016 21:37	3/8/2016 21:44	1	1	2	4	4	2	2	1																					4		2	2					1			1							1			12.98330688	77.58331299	-1
R_essQXggG2R1kd7L	Default Response Set	Anonymous			61.3.9.15	0	3/9/2016 0:44	3/9/2016 0:48	1	1	2	2	4	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2		2	4			1					1							1			13.6499939	79.41668701	-1
R_2hIRlv9EHIf0uEd	Default Response Set	Anonymous			117.221.84.130	0	3/9/2016 0:51	3/9/2016 0:55	1	1	2	2	4	1	1	1	2	3	4	3	1	2	3	4	3	2	2	2	1	3	2	4	4	4	2	3	2	Nothing	2	2	1									1		1				Sss	Maybe	13.6499939	79.41668701	-1
R_9NPhrghKcYf0n6B	Default Response Set	Anonymous			117.221.84.130	8	3/9/2016 1:00	3/9/2016 1:01	1	1	2	2	4	1	1	1	2	3	4	3	1	2	3	4	3	2	2	2	1	3	2	4	4	4	2	3	2	Nothing	2	2	1									1		1				Sss	Maybe	13.6499939	79.41668701	-1
R_dh9IhEH9xgnl6It	Default Response Set	Anonymous			106.220.254.105	0	3/9/2016 1:28	3/9/2016 1:34	1	1	2	2	4	1	2		1		2									3	4								3	helps in finding friends	2	3					1				1						1	no	no	17.37530518	78.47439575	-1
R_0w8krcU7cHHujGd	Default Response Set	Anonymous			101.223.213.157	0	3/9/2016 1:46	3/9/2016 1:52	1	2	2	2	2	2	2	2	1	2	3	2	3		3	3													2		4	4		1					1				1			1				18.01669312	79.63330078	-1
R_1AOlaID2va9P4k5	Default Response Set	Anonymous			117.250.58.194	0	3/9/2016 1:46	3/9/2016 1:58	1	2	2	4	4	2	1	2	1	3	2	2	3	1	3	2	2	4	3	3	4	2	3	1	1	2	1	3	2		2	5					1			1							1			8.733306885	77.70001221	-1
R_2bL5mSZIGG7YE85	Default Response Set	Anonymous			59.95.24.207	0	3/9/2016 2:02	3/9/2016 2:04	1	1	2	2	4	2	2	1	1	2	1	1	3	1	2	1	3	2	3	1	2	1	1	1	1	1	1	1	2		2	2	1	1	1				1	1			1	1	1					13.6499939	79.41668701	-1
R_9ystUbutLiwL57n	Default Response Set	Anonymous			183.82.230.250	0	3/9/2016 2:46	3/9/2016 2:49	1	1	2	1	5	2	3											1																																17.37530518	78.47439575	-1
R_9mDfNRphd3G0fxH	Default Response Set	Anonymous			168.235.196.204	0	3/9/2016 2:55	3/9/2016 2:59	1	2	2	4	4	2	2	1	2																				4	chatting with frds	4	4		1							1		1					its useful	good frds	34.14700317	-118.1391983	-1
R_cBhOBAXliKnMf41	Default Response Set	Anonymous			168.235.196.204	8	3/9/2016 2:55	3/9/2016 2:59	1	2	2	4	4	2	2	1	2																				4	chatting with frds	4	4		1							1		1					its useful	good frds	34.14700317	-118.1391983	-1
R_bszpbmXVmgntVNr	Default Response Set	Anonymous			117.211.106.233	0	3/9/2016 4:45	3/9/2016 4:51	1	1	2	1	3	2	2		1	2	3										4								1	One of the day iam going to college thare iam see one comedy	2	4	1					1					1					Well fine	No	14.46670532	78.81671143	-1
R_6Xnif9n58XzAggl	Default Response Set	Anonymous			106.220.182.163	0	3/9/2016 9:13	3/9/2016 9:16	1	1	2	4	4	2	2	1																					4		2																			17.37530518	78.47439575	-1
R_by1GemfhAzJN8sl	Default Response Set	Anonymous			1.39.62.200	0	3/9/2016 9:21	3/9/2016 9:28	1	1	2	2	4	1	2			3	2	2	3							4	4				1		1		2	To interact with my friends is very happiest moment for me.	2	4			1					1				1				Increases my communication skills. 	It will be helpful for achieving my career goals. 	13.08329773	80.28329468	-1
R_8FYnnCDBlNBFgHj	Default Response Set	Anonymous			107.167.108.55	0	3/9/2016 20:43	3/9/2016 20:43	1	1	2	2	4	1	1																						2		2	4				1				1				1						37.52600098	-122.3558044	-1
